roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-8492,female,group E,some college,1,1,79,26,69,90,264,B
std-8493,female,group C,master's degree,0,1,92,51,71,39,253,B
std-8494,female,group B,associate's degree,1,0,100,66,82,65,313,B
std-8495,female,group D,some high school,1,1,89,54,100,95,338,A
std-8496,female,group B,bachelor's degree,0,1,49,78,69,88,284,B
std-8497,female,group C,some high school,1,0,60,84,45,58,247,C
std-8498,female,group E,high school,0,0,92,80,86,62,320,A
std-8499,female,group C,associate's degree,0,1,36,83,99,81,299,B
std-8500,female,group D,associate's degree,0,0,78,100,75,63,316,B
std-8501,female,group D,some high school,0,1,72,86,55,68,281,B
std-8502,female,group A,high school,1,1,31,91,78,58,258,B
std-8503,female,group C,high school,1,0,60,67,100,55,282,B
std-8504,female,group E,high school,0,1,64,67,90,74,295,B
std-8505,female,group C,some high school,1,1,27,72,73,75,247,C
std-8506,female,group B,high school,1,1,27,100,96,74,297,B
std-8507,female,group D,some high school,1,0,47,45,73,61,226,C
std-8508,female,group C,some college,1,1,70,73,86,31,260,B
std-8509,female,group C,high school,1,0,93,55,93,70,311,B
std-8510,female,group B,some college,1,1,98,36,88,66,288,B
std-8511,female,group A,some high school,1,0,71,83,90,85,329,A
std-8512,female,group D,some college,0,1,67,59,72,67,265,B
std-8513,female,group A,some college,1,0,74,48,75,62,259,B
std-8514,female,group A,bachelor's degree,0,1,58,68,59,82,267,B
std-8515,female,group E,high school,1,0,44,86,72,53,255,B
std-8516,female,group D,some college,0,0,44,54,100,86,284,B
std-8517,female,group D,bachelor's degree,0,0,51,77,67,56,251,B
std-8518,female,group C,some high school,1,0,51,48,65,78,242,C
std-8519,female,group B,associate's degree,0,1,71,69,69,74,283,B
std-8520,female,group C,associate's degree,0,1,70,31,70,71,242,C
std-8521,female,group C,some high school,0,0,47,100,47,72,266,B
std-8522,female,group D,some college,1,0,37,58,68,43,206,C
std-8523,female,group B,master's degree,1,0,81,74,85,90,330,A
std-8524,female,group C,some college,0,0,67,62,75,38,242,C
std-8525,female,group C,some college,0,1,56,79,94,54,283,B
std-8526,female,group A,some high school,1,0,80,73,90,100,343,A
std-8527,female,group C,some high school,1,1,64,92,89,98,343,A
std-8528,female,group E,some college,1,0,32,91,94,80,297,B
std-8529,female,group C,associate's degree,1,0,71,67,75,71,284,B
std-8530,female,group A,associate's degree,0,1,69,54,74,37,234,C
std-8531,female,group E,associate's degree,0,0,73,65,84,45,267,B
std-8532,female,group E,some high school,1,0,52,54,85,66,257,B
std-8533,female,group B,associate's degree,1,0,58,61,69,50,238,C
std-8534,female,group D,some high school,0,0,34,82,71,100,287,B
std-8535,female,group B,some high school,0,1,54,80,90,69,293,B
std-8536,female,group B,master's degree,0,0,27,89,69,31,216,C
std-8537,female,group C,some high school,1,0,74,77,48,70,269,B
std-8538,female,group D,high school,1,1,59,73,65,86,283,B
std-8539,female,group C,bachelor's degree,1,0,69,70,94,68,301,B
std-8540,female,group A,associate's degree,0,0,62,58,88,100,308,B
std-8541,female,group E,some college,1,0,58,48,60,82,248,C
std-8542,female,group D,some high school,1,1,60,77,81,57,275,B
std-8543,female,group B,some high school,0,0,77,86,68,75,306,B
std-8544,female,group C,some high school,1,0,36,37,70,100,243,C
std-8545,female,group A,associate's degree,0,0,27,49,61,40,177,D
std-8546,female,group E,some high school,1,1,78,48,46,49,221,C
std-8547,female,group D,some high school,1,0,82,38,69,69,258,B
std-8548,female,group D,associate's degree,0,0,56,58,61,70,245,C
std-8549,female,group C,associate's degree,1,0,33,46,97,63,239,C
std-8550,female,group D,associate's degree,0,0,59,76,83,49,267,B
std-8551,female,group C,high school,1,0,63,65,80,80,288,B
std-8552,female,group D,high school,1,0,100,25,84,82,291,B
std-8553,female,group D,associate's degree,1,1,74,75,82,65,296,B
std-8554,female,group E,some college,1,1,67,71,52,56,246,C
std-8555,female,group D,some college,0,0,31,78,62,85,256,B
std-8556,female,group E,high school,1,1,60,97,98,84,339,A
std-8557,female,group C,associate's degree,0,0,76,52,74,82,284,B
std-8558,female,group C,associate's degree,1,0,79,65,98,71,313,B
std-8559,female,group C,some high school,1,0,40,60,98,86,284,B
std-8560,female,group A,some college,0,1,54,70,76,75,275,B
std-8561,female,group B,some college,0,1,100,68,60,82,310,B
std-8562,female,group E,high school,0,0,27,86,58,53,224,C
std-8563,female,group A,bachelor's degree,1,1,90,73,80,52,295,B
std-8564,female,group A,high school,1,1,45,72,51,90,258,B
std-8565,female,group A,some high school,0,0,41,54,43,48,186,D
std-8566,female,group C,associate's degree,1,0,36,53,93,89,271,B
std-8567,female,group C,some high school,1,1,41,80,91,55,267,B
std-8568,female,group B,master's degree,0,1,100,61,84,77,322,A
std-8569,female,group C,bachelor's degree,1,0,64,70,87,94,315,B
std-8570,female,group C,some college,0,0,50,62,88,31,231,C
std-8571,female,group B,high school,0,0,38,50,72,76,236,C
std-8572,female,group B,associate's degree,0,0,48,95,66,85,294,B
std-8573,female,group D,bachelor's degree,1,0,86,75,78,79,318,B
std-8574,female,group E,high school,1,0,68,58,89,64,279,B
std-8575,female,group D,high school,1,1,76,70,100,76,322,A
std-8576,female,group C,some college,1,0,96,93,83,70,342,A
std-8577,female,group C,high school,1,0,56,71,100,79,306,B
std-8578,female,group D,some high school,0,1,52,76,95,41,264,B
std-8579,female,group C,associate's degree,1,0,87,63,80,75,305,B
std-8580,female,group C,associate's degree,1,0,55,40,61,85,241,C
std-8581,female,group C,some college,0,1,65,88,87,73,313,B
std-8582,female,group E,some high school,0,0,79,89,80,49,297,B
std-8583,female,group B,some high school,1,0,63,61,33,40,197,D
std-8584,female,group D,some college,0,0,62,88,100,34,284,B
std-8585,female,group E,some college,0,1,31,63,91,62,247,C
std-8586,female,group B,associate's degree,1,0,64,43,82,78,267,B
std-8587,female,group C,bachelor's degree,0,0,29,79,73,45,226,C
std-8588,female,group E,high school,1,1,95,76,61,41,273,B
std-8589,female,group D,high school,1,1,57,75,61,87,280,B
std-8590,female,group E,bachelor's degree,0,0,76,37,99,43,255,B
std-8591,female,group C,associate's degree,1,0,49,75,78,100,302,B
std-8592,female,group C,some college,1,0,61,26,53,43,183,D
std-8593,female,group D,high school,1,0,27,100,88,55,270,B
std-8594,female,group C,some high school,0,0,65,61,84,100,310,B
std-8595,female,group B,some high school,1,0,71,94,82,53,300,B
std-8596,female,group B,some college,1,0,38,63,71,39,211,C
std-8597,female,group B,high school,1,1,51,45,88,93,277,B
std-8598,female,group C,high school,1,0,87,97,63,56,303,B
std-8599,female,group B,some college,1,0,63,74,98,82,317,B
std-8600,female,group A,some college,1,1,49,59,77,90,275,B
std-8601,female,group E,bachelor's degree,1,0,64,65,48,51,228,C
std-8602,female,group C,some high school,1,1,90,36,81,94,301,B
std-8603,female,group B,some high school,1,0,82,81,83,53,299,B
std-8604,female,group B,associate's degree,0,1,69,83,100,47,299,B
std-8605,female,group D,some college,1,1,79,59,91,61,290,B
std-8606,female,group B,some high school,0,1,48,53,76,48,225,C
std-8607,female,group C,some high school,1,1,57,43,59,85,244,C
std-8608,female,group C,associate's degree,1,0,55,72,67,63,257,B
std-8609,female,group B,associate's degree,0,0,63,69,87,66,285,B
std-8610,female,group C,high school,1,1,29,42,54,57,182,D
std-8611,female,group C,some high school,1,0,49,74,84,87,294,B
std-8612,female,group C,bachelor's degree,1,0,65,57,83,60,265,B
std-8613,female,group D,associate's degree,0,0,65,81,78,58,282,B
std-8614,female,group E,high school,1,1,33,61,61,96,251,B
std-8615,female,group C,some college,1,0,28,76,100,55,259,B
std-8616,female,group C,associate's degree,1,1,83,27,72,40,222,C
std-8617,female,group C,some college,1,0,54,81,82,68,285,B
std-8618,female,group A,some college,1,0,84,46,71,67,268,B
std-8619,female,group D,some college,0,0,92,30,41,27,190,D
std-8620,female,group C,bachelor's degree,1,0,52,70,100,71,293,B
std-8621,female,group C,bachelor's degree,0,0,64,85,75,69,293,B
std-8622,female,group E,associate's degree,0,1,95,79,49,77,300,B
std-8623,female,group D,some high school,0,1,80,85,100,55,320,A
std-8624,female,group B,associate's degree,1,1,67,76,80,97,320,A
std-8625,female,group C,some college,1,1,47,55,82,94,278,B
std-8626,female,group E,master's degree,1,0,55,91,59,85,290,B
std-8627,female,group C,bachelor's degree,0,1,71,100,82,70,323,A
std-8628,female,group D,some high school,0,1,56,78,75,64,273,B
std-8629,female,group A,some college,0,0,45,39,89,83,256,B
std-8630,female,group D,bachelor's degree,0,0,27,70,74,81,252,B
std-8631,female,group D,some college,0,0,27,66,49,49,191,D
std-8632,female,group B,master's degree,1,0,73,98,69,67,307,B
std-8633,female,group D,high school,0,0,79,65,82,80,306,B
std-8634,female,group E,associate's degree,1,1,81,74,91,61,307,B
std-8635,female,group E,some college,0,0,74,74,73,54,275,B
std-8636,female,group D,high school,1,1,61,51,99,38,249,C
std-8637,female,group C,some high school,1,1,31,72,65,100,268,B
std-8638,female,group E,bachelor's degree,0,0,74,49,100,98,321,A
std-8639,female,group A,some college,1,0,56,100,79,86,321,A
std-8640,female,group A,master's degree,1,0,74,76,57,70,277,B
std-8641,female,group B,bachelor's degree,0,0,81,51,96,71,299,B
std-8642,female,group D,bachelor's degree,0,1,87,63,98,59,307,B
std-8643,female,group E,some college,1,1,77,64,52,70,263,B
std-8644,female,group D,associate's degree,0,0,49,84,98,100,331,A
std-8645,female,group C,associate's degree,1,0,60,65,54,59,238,C
std-8646,female,group B,some college,1,1,61,87,73,84,305,B
std-8647,female,group D,associate's degree,1,1,70,69,70,41,250,B
std-8648,female,group D,some college,1,0,99,68,95,74,336,A
std-8649,female,group B,bachelor's degree,0,0,84,44,79,77,284,B
std-8650,female,group E,high school,1,0,36,76,64,82,258,B
std-8651,female,group A,high school,1,0,46,64,70,71,251,B
std-8652,female,group D,some college,1,0,75,73,86,64,298,B
std-8653,female,group C,bachelor's degree,0,0,62,95,74,55,286,B
std-8654,female,group C,associate's degree,1,0,41,89,44,79,253,B
std-8655,female,group B,associate's degree,0,1,47,73,100,91,311,B
std-8656,female,group B,some high school,1,1,56,84,69,45,254,B
std-8657,female,group D,associate's degree,1,0,73,63,96,68,300,B
std-8658,female,group D,associate's degree,1,0,52,91,100,91,334,A
std-8659,female,group C,associate's degree,0,0,66,56,95,51,268,B
std-8660,female,group C,bachelor's degree,1,0,100,40,96,64,300,B
std-8661,female,group B,some high school,1,1,76,66,64,57,263,B
std-8662,female,group A,associate's degree,0,0,51,50,92,64,257,B
std-8663,female,group B,some high school,1,0,60,49,100,70,279,B
std-8664,female,group A,some high school,1,1,65,64,82,61,272,B
std-8665,female,group A,bachelor's degree,1,0,82,49,66,30,227,C
std-8666,female,group D,some high school,0,0,64,29,55,59,207,C
std-8667,female,group B,some high school,1,1,41,99,83,58,281,B
std-8668,female,group C,some high school,1,0,60,50,74,49,233,C
std-8669,female,group C,bachelor's degree,1,1,66,97,73,61,297,B
std-8670,female,group D,some college,0,0,91,62,38,50,241,C
std-8671,female,group C,master's degree,0,1,79,51,64,58,252,B
std-8672,female,group B,some high school,1,0,63,62,96,85,306,B
std-8673,female,group C,some college,1,0,40,70,57,85,252,B
std-8674,female,group C,high school,1,1,55,79,53,79,266,B
std-8675,female,group A,bachelor's degree,0,1,67,68,76,68,279,B
std-8676,female,group B,some college,0,1,58,88,53,44,243,C
std-8677,female,group E,some high school,0,0,33,100,74,65,272,B
std-8678,female,group D,some college,1,1,84,66,72,63,285,B
std-8679,female,group D,some high school,1,1,79,59,95,59,292,B
std-8680,female,group C,some college,1,0,56,70,66,70,262,B
std-8681,female,group B,some college,0,0,87,23,68,62,240,C
std-8682,female,group B,bachelor's degree,1,0,99,83,71,49,302,B
std-8683,female,group D,some high school,1,0,50,98,95,57,300,B
std-8684,female,group D,some high school,1,1,59,53,87,62,261,B
std-8685,female,group D,high school,1,0,61,65,93,53,272,B
std-8686,female,group E,associate's degree,1,1,56,98,54,52,260,B
std-8687,female,group B,bachelor's degree,1,0,42,90,66,67,265,B
std-8688,female,group B,master's degree,1,1,75,96,94,83,348,A
std-8689,female,group D,high school,1,0,56,68,75,76,275,B
std-8690,female,group E,high school,1,1,79,78,84,67,308,B
std-8691,female,group A,associate's degree,0,0,84,63,46,61,254,B
std-8692,female,group C,some high school,1,0,58,77,89,73,297,B
std-8693,female,group C,some college,1,1,48,64,100,85,297,B
std-8694,female,group A,high school,1,1,100,74,74,63,311,B
std-8695,female,group C,associate's degree,1,1,76,46,100,74,296,B
std-8696,female,group D,high school,1,0,66,100,78,75,319,B
std-8697,female,group C,high school,1,1,67,40,94,77,278,B
std-8698,female,group A,associate's degree,1,1,76,44,15,56,191,D
std-8699,female,group C,some high school,0,0,77,35,80,86,278,B
std-8700,female,group E,some high school,1,0,59,81,79,69,288,B
std-8701,female,group E,associate's degree,1,1,70,96,47,72,285,B
std-8702,female,group B,high school,0,0,52,80,80,80,292,B
std-8703,female,group E,some high school,0,1,27,87,98,70,282,B
std-8704,female,group C,bachelor's degree,1,1,83,56,92,69,300,B
std-8705,female,group C,high school,0,1,70,42,76,60,248,C
std-8706,female,group C,high school,1,0,71,68,72,72,283,B
std-8707,female,group E,some college,1,0,78,49,79,100,306,B
std-8708,female,group E,master's degree,0,0,79,51,61,34,225,C
std-8709,female,group B,some college,1,1,66,60,60,55,241,C
std-8710,female,group B,associate's degree,0,0,70,70,91,80,311,B
std-8711,female,group D,some high school,1,0,74,64,93,65,296,B
std-8712,female,group D,high school,1,1,62,44,58,81,245,C
std-8713,female,group A,high school,1,0,83,58,61,83,285,B
std-8714,female,group C,master's degree,1,1,53,81,86,100,320,A
std-8715,female,group B,high school,1,0,77,89,96,88,350,A
std-8716,female,group D,some college,1,0,62,86,79,61,288,B
std-8717,female,group A,associate's degree,0,1,47,92,41,68,248,C
std-8718,female,group E,associate's degree,1,0,71,100,43,63,277,B
std-8719,female,group E,some high school,1,0,74,31,90,69,264,B
std-8720,female,group E,some college,1,0,66,67,81,80,294,B
std-8721,female,group D,master's degree,0,0,40,78,80,53,251,B
std-8722,female,group B,some high school,1,1,85,69,71,90,315,B
std-8723,female,group E,some high school,0,1,52,69,53,74,248,C
std-8724,female,group C,high school,1,1,40,81,62,92,275,B
std-8725,female,group D,high school,1,0,73,79,77,57,286,B
std-8726,female,group D,master's degree,1,1,88,80,86,78,332,A
std-8727,female,group A,high school,0,1,31,71,97,78,277,B
std-8728,female,group E,some high school,0,0,51,54,77,75,257,B
std-8729,female,group A,some college,1,1,58,56,78,59,251,B
std-8730,female,group B,some high school,1,1,98,31,76,95,300,B
std-8731,female,group E,some college,0,0,71,67,89,76,303,B
std-8732,female,group E,some high school,0,0,96,72,70,36,274,B
std-8733,female,group B,some college,1,0,39,84,67,81,271,B
std-8734,female,group C,bachelor's degree,1,0,85,71,78,78,312,B
std-8735,female,group B,associate's degree,0,0,69,65,85,78,297,B
std-8736,female,group A,associate's degree,1,0,67,100,86,97,350,A
std-8737,female,group D,associate's degree,1,0,63,57,86,80,286,B
std-8738,female,group C,some high school,1,1,85,70,67,41,263,B
std-8739,female,group E,associate's degree,0,1,47,100,65,62,274,B
std-8740,female,group A,associate's degree,0,1,58,82,89,64,293,B
std-8741,female,group B,some high school,1,0,62,46,80,63,251,B
std-8742,female,group B,high school,0,1,86,63,83,94,326,A
std-8743,female,group A,some college,1,0,35,51,91,97,274,B
std-8744,female,group B,bachelor's degree,0,1,65,52,78,34,229,C
std-8745,female,group E,high school,1,1,79,39,100,78,296,B
std-8746,female,group C,bachelor's degree,1,1,53,100,75,73,301,B
std-8747,female,group C,some high school,1,0,91,71,91,97,350,A
std-8748,female,group C,associate's degree,0,0,96,91,61,38,286,B
std-8749,female,group E,bachelor's degree,1,1,46,67,65,95,273,B
std-8750,female,group B,high school,1,0,55,68,95,78,296,B
std-8751,female,group C,some high school,1,0,61,60,66,89,276,B
std-8752,female,group D,some college,1,0,77,85,84,43,289,B
std-8753,female,group A,some high school,1,0,100,46,69,93,308,B
std-8754,female,group C,associate's degree,1,1,32,63,67,94,256,B
std-8755,female,group D,some high school,1,1,74,54,36,51,215,C
std-8756,female,group B,associate's degree,1,0,86,91,55,64,296,B
std-8757,female,group D,some high school,0,0,73,100,96,75,344,A
std-8758,female,group C,some high school,1,0,49,89,79,86,303,B
std-8759,female,group E,some high school,1,0,46,78,80,80,284,B
std-8760,female,group C,some high school,1,1,60,89,82,68,299,B
std-8761,female,group D,high school,0,0,58,82,97,61,298,B
std-8762,female,group D,some college,0,1,76,75,47,88,286,B
std-8763,female,group D,high school,1,0,84,100,80,41,305,B
std-8764,female,group D,high school,1,0,60,52,73,68,253,B
std-8765,female,group C,some college,1,1,64,36,94,100,294,B
std-8766,female,group C,some high school,1,0,72,85,74,68,299,B
std-8767,female,group B,associate's degree,1,1,57,61,80,54,252,B
std-8768,female,group E,bachelor's degree,0,0,33,100,53,62,248,C
std-8769,female,group B,high school,1,1,68,52,70,80,270,B
std-8770,female,group A,some high school,1,1,48,100,86,84,318,B
std-8771,female,group C,high school,1,0,55,86,83,90,314,B
std-8772,female,group D,some high school,0,1,74,89,97,69,329,A
std-8773,female,group A,associate's degree,1,1,78,44,63,82,267,B
std-8774,female,group E,bachelor's degree,0,0,67,84,71,46,268,B
std-8775,female,group A,some college,1,1,35,45,83,52,215,C
std-8776,female,group C,associate's degree,0,0,53,92,86,45,276,B
std-8777,female,group B,high school,1,1,91,84,81,46,302,B
std-8778,female,group C,some college,1,0,70,32,76,75,253,B
std-8779,female,group C,some high school,1,0,87,96,100,100,383,A
std-8780,female,group C,associate's degree,0,1,52,59,43,97,251,B
std-8781,female,group A,some high school,0,1,94,56,100,83,333,A
std-8782,female,group B,bachelor's degree,1,1,45,79,79,53,256,B
std-8783,female,group D,some high school,0,0,33,50,88,42,213,C
std-8784,female,group D,master's degree,1,0,30,53,89,80,252,B
std-8785,female,group D,some college,1,1,88,45,82,93,308,B
std-8786,female,group B,some high school,1,1,33,56,43,37,169,D
std-8787,female,group C,bachelor's degree,1,0,72,42,98,51,263,B
std-8788,female,group A,some high school,1,0,98,66,62,56,282,B
std-8789,female,group D,some college,1,0,43,28,81,45,197,D
std-8790,female,group D,bachelor's degree,1,1,65,81,88,90,324,A
std-8791,female,group B,high school,1,0,70,46,99,65,280,B
std-8792,female,group A,some high school,0,0,85,97,89,66,337,A
std-8793,female,group B,some high school,1,0,98,90,78,56,322,A
std-8794,female,group A,some college,0,1,68,60,79,54,261,B
std-8795,female,group E,bachelor's degree,1,1,62,57,95,37,251,B
std-8796,female,group E,bachelor's degree,1,1,28,70,55,34,187,D
std-8797,female,group A,high school,1,0,61,82,69,88,300,B
std-8798,female,group C,some college,1,1,58,63,53,80,254,B
std-8799,female,group A,some college,0,0,83,49,56,77,265,B
std-8800,female,group A,some college,0,0,81,70,88,70,309,B
std-8801,female,group D,some college,0,0,57,99,85,68,309,B
std-8802,female,group C,some college,1,1,76,39,76,63,254,B
std-8803,female,group C,associate's degree,1,0,43,36,68,71,218,C
std-8804,female,group E,associate's degree,1,0,81,69,42,59,251,B
std-8805,female,group D,high school,0,1,85,84,94,65,328,A
std-8806,female,group A,associate's degree,1,0,49,66,53,54,222,C
std-8807,female,group C,high school,1,1,60,44,79,43,226,C
std-8808,female,group C,high school,1,0,75,83,60,88,306,B
std-8809,female,group D,some high school,1,1,50,82,100,80,312,B
std-8810,female,group E,some high school,1,1,55,82,78,44,259,B
std-8811,female,group E,associate's degree,1,1,75,80,44,62,261,B
std-8812,female,group B,bachelor's degree,0,0,60,69,83,75,287,B
std-8813,female,group A,some high school,1,1,81,72,40,32,225,C
std-8814,female,group C,bachelor's degree,1,0,59,80,65,97,301,B
std-8815,female,group C,some college,1,0,95,62,81,45,283,B
std-8816,female,group A,bachelor's degree,1,1,27,57,79,61,224,C
std-8817,female,group D,high school,1,1,80,70,76,53,279,B
std-8818,female,group C,high school,0,1,84,50,85,64,283,B
std-8819,female,group C,bachelor's degree,1,0,74,66,50,73,263,B
std-8820,female,group E,high school,1,1,83,77,59,61,280,B
std-8821,female,group C,bachelor's degree,1,0,27,91,100,85,303,B
std-8822,female,group D,some college,1,1,71,99,100,69,339,A
std-8823,female,group C,associate's degree,1,0,50,70,90,90,300,B
std-8824,female,group A,high school,0,1,41,88,99,46,274,B
std-8825,female,group C,some college,1,0,31,86,61,61,239,C
std-8826,female,group D,high school,1,0,80,74,99,86,339,A
std-8827,female,group A,some college,1,1,61,84,79,74,298,B
std-8828,female,group C,some college,0,0,73,69,81,66,289,B
std-8829,female,group D,some high school,0,0,60,58,70,35,223,C
std-8830,female,group B,high school,1,1,69,76,81,51,277,B
std-8831,female,group A,associate's degree,1,1,69,96,85,74,324,A
std-8832,female,group D,some high school,0,1,58,88,77,83,306,B
std-8833,female,group C,some college,0,1,39,72,87,92,290,B
std-8834,female,group E,bachelor's degree,0,0,75,71,50,97,293,B
std-8835,female,group C,high school,1,1,34,65,66,97,262,B
std-8836,female,group D,some college,1,0,73,79,56,44,252,B
std-8837,female,group D,high school,1,1,64,50,73,100,287,B
std-8838,female,group A,bachelor's degree,0,1,60,57,95,58,270,B
std-8839,female,group B,high school,1,0,68,38,65,85,256,B
std-8840,female,group D,high school,0,0,59,100,84,49,292,B
std-8841,female,group D,high school,0,1,46,67,53,49,215,C
std-8842,female,group D,some high school,1,0,82,92,84,74,332,A
std-8843,female,group C,some high school,0,0,78,100,95,41,314,B
std-8844,female,group B,some high school,0,0,56,59,64,46,225,C
std-8845,female,group B,bachelor's degree,0,0,49,91,67,70,277,B
std-8846,female,group B,associate's degree,1,0,74,70,96,76,316,B
std-8847,female,group C,associate's degree,1,1,68,40,93,88,289,B
std-8848,female,group A,bachelor's degree,1,0,65,94,93,82,334,A
std-8849,female,group B,master's degree,0,0,65,77,100,64,306,B
std-8850,female,group C,master's degree,1,0,95,84,45,76,300,B
std-8851,female,group D,some college,0,0,27,62,60,56,205,C
std-8852,female,group C,high school,1,1,44,76,65,28,213,C
std-8853,female,group C,master's degree,0,1,44,77,100,85,306,B
std-8854,female,group B,some high school,0,1,27,60,100,91,278,B
std-8855,female,group A,some college,1,0,69,45,83,86,283,B
std-8856,female,group A,associate's degree,1,0,81,85,62,74,302,B
std-8857,female,group C,some college,1,1,37,46,73,71,227,C
std-8858,female,group C,associate's degree,1,1,55,63,32,81,231,C
std-8859,female,group D,associate's degree,0,0,75,82,31,87,275,B
std-8860,female,group B,some college,1,0,35,58,94,80,267,B
std-8861,female,group B,some college,1,1,87,81,63,62,293,B
std-8862,female,group C,associate's degree,1,1,50,55,89,43,237,C
std-8863,female,group D,master's degree,0,0,29,92,100,78,299,B
std-8864,female,group B,some high school,0,1,84,70,100,84,338,A
std-8865,female,group D,associate's degree,0,0,34,58,52,45,189,D
std-8866,female,group C,high school,1,0,91,60,99,91,341,A
std-8867,female,group B,master's degree,1,1,85,85,97,63,330,A
std-8868,female,group E,bachelor's degree,1,0,89,100,86,93,368,A
std-8869,female,group C,some college,0,0,57,62,70,100,289,B
std-8870,female,group B,some college,1,1,59,92,90,57,298,B
std-8871,female,group D,master's degree,1,1,70,72,38,65,245,C
std-8872,female,group E,high school,1,0,63,53,52,86,254,B
std-8873,female,group D,some college,1,1,55,65,83,30,233,C
std-8874,female,group B,associate's degree,1,1,62,59,100,97,318,B
std-8875,female,group D,bachelor's degree,1,0,62,96,74,58,290,B
std-8876,female,group C,some college,1,0,73,91,84,62,310,B
std-8877,female,group B,high school,1,0,68,79,87,62,296,B
std-8878,female,group B,associate's degree,0,1,57,80,70,50,257,B
std-8879,female,group E,some college,0,0,79,47,61,41,228,C
std-8880,female,group D,associate's degree,0,1,71,82,100,67,320,A
std-8881,female,group A,bachelor's degree,0,0,56,63,58,88,265,B
std-8882,female,group D,some high school,0,1,62,73,92,37,264,B
std-8883,female,group B,high school,1,1,45,55,59,69,228,C
std-8884,female,group D,associate's degree,1,0,59,60,95,87,301,B
std-8885,female,group A,some high school,0,1,68,54,88,89,299,B
std-8886,female,group C,high school,1,0,72,84,70,71,297,B
std-8887,female,group C,associate's degree,1,1,36,36,79,36,187,D
std-8888,female,group B,high school,1,1,80,54,53,42,229,C
std-8889,female,group B,bachelor's degree,1,1,30,55,83,60,228,C
std-8890,female,group C,associate's degree,0,0,50,100,58,71,279,B
std-8891,female,group B,high school,1,0,79,84,62,37,262,B
std-8892,female,group C,high school,1,1,84,53,59,57,253,B
std-8893,female,group B,bachelor's degree,1,1,69,82,59,84,294,B
std-8894,female,group C,master's degree,1,1,59,75,93,78,305,B
std-8895,female,group C,some high school,1,1,28,34,70,78,210,C
std-8896,female,group A,some high school,1,1,74,87,71,74,306,B
std-8897,female,group D,some college,0,0,71,65,95,65,296,B
std-8898,female,group E,some high school,1,0,74,39,78,78,269,B
std-8899,female,group C,some high school,1,0,85,81,95,87,348,A
std-8900,female,group C,high school,1,0,76,32,92,94,294,B
std-8901,female,group B,bachelor's degree,1,1,55,78,100,67,300,B
std-8902,female,group E,some college,1,0,44,77,100,76,297,B
std-8903,female,group C,some college,1,1,27,68,100,72,267,B
std-8904,female,group C,high school,0,0,90,85,50,57,282,B
std-8905,female,group D,bachelor's degree,0,1,97,97,73,60,327,A
std-8906,female,group D,bachelor's degree,0,1,40,100,57,87,284,B
std-8907,female,group D,bachelor's degree,0,1,60,61,94,68,283,B
std-8908,female,group E,some college,1,0,62,57,67,85,271,B
std-8909,female,group D,some high school,1,0,51,43,83,50,227,C
std-8910,female,group E,associate's degree,1,1,70,90,67,66,293,B
std-8911,female,group C,high school,1,1,44,73,73,84,274,B
std-8912,female,group B,some high school,0,0,64,100,100,56,320,A
std-8913,female,group C,some college,1,0,84,92,45,57,278,B
std-8914,female,group E,some high school,1,1,34,80,53,56,223,C
std-8915,female,group D,some college,1,1,54,97,79,46,276,B
std-8916,female,group B,some high school,1,0,47,50,56,68,221,C
std-8917,female,group B,high school,1,0,80,81,92,58,311,B
std-8918,female,group B,some college,1,1,74,72,80,73,299,B
std-8919,female,group A,bachelor's degree,0,1,85,88,64,78,315,B
std-8920,female,group E,high school,1,0,68,59,74,87,288,B
std-8921,female,group C,some high school,1,0,80,37,72,82,271,B
std-8922,female,group C,associate's degree,1,1,75,77,66,68,286,B
std-8923,female,group B,associate's degree,1,0,72,56,82,49,259,B
std-8924,female,group B,associate's degree,0,1,56,54,100,79,289,B
std-8925,female,group D,associate's degree,1,1,55,43,71,94,263,B
std-8926,female,group C,some high school,1,0,55,80,55,62,252,B
std-8927,female,group D,some college,1,0,65,58,27,92,242,C
std-8928,female,group A,some high school,1,0,42,77,84,93,296,B
std-8929,female,group A,associate's degree,1,1,72,50,64,29,215,C
std-8930,female,group D,some high school,1,1,56,71,89,58,274,B
std-8931,female,group D,some college,0,0,67,61,52,62,242,C
std-8932,female,group E,high school,0,0,68,66,68,89,291,B
std-8933,female,group D,associate's degree,1,1,86,58,74,87,305,B
std-8934,female,group D,some college,1,0,44,70,98,54,266,B
std-8935,female,group C,high school,1,0,37,49,79,69,234,C
std-8936,female,group B,high school,0,1,62,82,44,44,232,C
std-8937,female,group C,associate's degree,1,0,74,57,79,84,294,B
std-8938,female,group B,master's degree,1,1,51,68,67,73,259,B
std-8939,female,group B,bachelor's degree,1,1,55,66,24,72,217,C
std-8940,female,group C,high school,1,1,45,59,87,100,291,B
std-8941,female,group C,some high school,1,0,89,67,74,89,319,B
std-8942,female,group C,some college,0,0,64,54,92,79,289,B
std-8943,female,group D,associate's degree,1,0,72,62,75,46,255,B
std-8944,female,group C,bachelor's degree,1,1,46,70,72,90,278,B
std-8945,female,group C,some college,1,0,37,100,76,61,274,B
std-8946,female,group D,high school,1,0,72,67,78,83,300,B
std-8947,female,group B,high school,0,0,67,60,80,45,252,B
